(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
negative regulation of cholesterol esterification	GO:0150110	positive regulation of cholesterol esterification	GO:0010873
negative regulation of cholesterol metabolic process	GO:0090206	positive regulation of cholesterol metabolic process	GO:0090205
negative regulation of cholesterol storage	GO:0010887	positive regulation of cholesterol storage	GO:0010886
negative regulation of cholesterol transport	GO:0032375	positive regulation of cholesterol transport	GO:0032376
negative regulation of choline o-acetyltransferase activity	GO:1902770	positive regulation of choline o-acetyltransferase activity	GO:1902771
negative regulation of chondrocyte development	GO:0061182	positive regulation of chondrocyte development	GO:1902761
negative regulation of chondrocyte differentiation	GO:0032331	positive regulation of chondrocyte differentiation	GO:0032332
negative regulation of chondrocyte hypertrophy	GO:1903042	positive regulation of chondrocyte hypertrophy	GO:1903043
negative regulation of chondrocyte proliferation	GO:1902731	positive regulation of chondrocyte proliferation	GO:1902732
negative regulation of chorionic trophoblast cell proliferation	GO:1901383	positive regulation of chorionic trophoblast cell proliferation	GO:1901384
negative regulation of chromatin assembly or disassembly	GO:0045798	positive regulation of chromatin assembly or disassembly	GO:0045799
negative regulation of chromatin binding	GO:0035562	positive regulation of chromatin binding	GO:0035563
negative regulation of chromatin organization	GO:1905268	positive regulation of chromatin organization	GO:1905269
negative regulation of chromosome attachment to the nuclear envelope	GO:0120265	positive regulation of chromosome attachment to the nuclear envelope	GO:0120266
negative regulation of chromosome condensation	GO:1902340	positive regulation of chromosome condensation	GO:1905821
negative regulation of chromosome organization	GO:2001251	positive regulation of chromosome organization	GO:2001252
negative regulation of chromosome segregation	GO:0051985	positive regulation of chromosome segregation	GO:0051984
negative regulation of chromosome separation	GO:1905819	positive regulation of chromosome separation	GO:1905820
negative regulation of cilium assembly	GO:1902018	positive regulation of cilium assembly	GO:0045724
negative regulation of cilium movement	GO:0003354	positive regulation of cilium movement	GO:0003353
negative regulation of cilium-dependent cell motility	GO:1902020	positive regulation of cilium-dependent cell motility	GO:2000155
negative regulation of circadian rhythm	GO:0042754	positive regulation of circadian rhythm	GO:0042753
negative regulation of circadian sleep/wake cycle, non-rem sleep	GO:0042323	positive regulation of circadian sleep/wake cycle, non-rem sleep	GO:0046010
negative regulation of circadian sleep/wake cycle, rem sleep	GO:0042322	positive regulation of circadian sleep/wake cycle, rem sleep	GO:0046005
negative regulation of circadian sleep/wake cycle, sleep	GO:0042321	positive regulation of circadian sleep/wake cycle, sleep	GO:0045938
negative regulation of circadian sleep/wake cycle, wakefulness	GO:1904326	positive regulation of circadian sleep/wake cycle, wakefulness	GO:0010841
negative regulation of circulating fibrinogen levels	GO:0061754	positive regulation of circulating fibrinogen levels	GO:0061755
negative regulation of citrulline biosynthetic process	GO:1903249	positive regulation of citrulline biosynthetic process	GO:1903250
negative regulation of clathrin coat assembly	GO:1905444	positive regulation of clathrin coat assembly	GO:1905445
negative regulation of clathrin-coated pit assembly	GO:1905469	positive regulation of clathrin-coated pit assembly	GO:1905470
negative regulation of clathrin-dependent endocytosis	GO:1900186	positive regulation of clathrin-dependent endocytosis	GO:2000370
negative regulation of cleistothecium development	GO:0070797	positive regulation of cleistothecium development	GO:0070798
negative regulation of coa-transferase activity	GO:1905919	positive regulation of coa-transferase activity	GO:1905920
negative regulation of coagulation	GO:0050819	positive regulation of coagulation	GO:0050820
negative regulation of cobalamin metabolic process	GO:0106122	positive regulation of cobalamin metabolic process	GO:0106121
negative regulation of coenzyme f420-dependent bicyclic nitroimidazole catabolic process	GO:1900289	positive regulation of coenzyme f420-dependent bicyclic nitroimidazole catabolic process	GO:1900290
negative regulation of cohesin loading	GO:0071923	positive regulation of cohesin loading	GO:1905309
negative regulation of cohesin unloading	GO:1905338	positive regulation of cohesin unloading	GO:1905339
negative regulation of collagen binding	GO:0033342	positive regulation of collagen binding	GO:0033343
negative regulation of collagen biosynthetic process	GO:0032966	positive regulation of collagen biosynthetic process	GO:0032967
negative regulation of collagen catabolic process	GO:0010711	positive regulation of collagen catabolic process	GO:0120158
negative regulation of collagen fibril organization	GO:1904027	positive regulation of collagen fibril organization	GO:1904028
negative regulation of collagen metabolic process	GO:0010713	positive regulation of collagen metabolic process	GO:0010714
negative regulation of collateral sprouting in absence of injury	GO:0048698	positive regulation of collateral sprouting in absence of injury	GO:0048697
negative regulation of collateral sprouting of injured axon	GO:0048695	positive regulation of collateral sprouting of injured axon	GO:0048694
negative regulation of collateral sprouting of intact axon in response to injury	GO:0048685	positive regulation of collateral sprouting of intact axon in response to injury	GO:0048684
negative regulation of collateral sprouting	GO:0048671	positive regulation of collateral sprouting	GO:0048672
negative regulation of collecting lymphatic vessel constriction	GO:1903815	positive regulation of collecting lymphatic vessel constriction	GO:1903816
negative regulation of complement activation, alternative pathway in other organism	GO:0044634	positive regulation of complement activation, alternative pathway in other organism	GO:0044635
negative regulation of complement activation, alternative pathway	GO:0045957	positive regulation of complement activation, alternative pathway	GO:0045958
negative regulation of complement activation, classical pathway in other organism	GO:0044629	positive regulation of complement activation, classical pathway in other organism	GO:0044628
negative regulation of complement activation, classical pathway	GO:0045959	positive regulation of complement activation, classical pathway	GO:0045960
negative regulation of complement activation, lectin pathway in other organism	GO:0044632	positive regulation of complement activation, lectin pathway in other organism	GO:0044631
negative regulation of complement activation, lectin pathway	GO:0001869	positive regulation of complement activation, lectin pathway	GO:0001870
negative regulation of complement activation	GO:0045916	positive regulation of complement activation	GO:0045917
negative regulation of complement-dependent cytotoxicity	GO:1903660	positive regulation of complement-dependent cytotoxicity	GO:1903661
negative regulation of compound eye photoreceptor cell differentiation	GO:0110118	positive regulation of compound eye photoreceptor cell differentiation	GO:0110117
negative regulation of compound eye photoreceptor development	GO:0045316	positive regulation of compound eye photoreceptor development	GO:0045315
negative regulation of compound eye pigmentation	GO:0048077	positive regulation of compound eye pigmentation	GO:0048078
negative regulation of compound eye retinal cell apoptotic process	GO:1901693	positive regulation of compound eye retinal cell apoptotic process	GO:1901694
negative regulation of compound eye retinal cell programmed cell death	GO:0046673	positive regulation of compound eye retinal cell programmed cell death	GO:0046672
negative regulation of conidiophore development	GO:0070794	positive regulation of conidiophore development	GO:0070795
negative regulation of conidiophore stalk development	GO:0070800	positive regulation of conidiophore stalk development	GO:0070801
negative regulation of conidium formation	GO:0075308	positive regulation of conidium formation	GO:0075307
negative regulation of conjugation with cellular fusion	GO:0031138	positive regulation of conjugation with cellular fusion	GO:0031139
negative regulation of conjugation	GO:0031135	positive regulation of conjugation	GO:0031136
negative regulation of connective tissue growth factor production	GO:0032683	positive regulation of connective tissue growth factor production	GO:0032723
negative regulation of connective tissue replacement involved in inflammatory response wound healing	GO:1904597	positive regulation of connective tissue replacement involved in inflammatory response wound healing	GO:1904598
negative regulation of connective tissue replacement	GO:1905204	positive regulation of connective tissue replacement	GO:1905205
negative regulation of constitutive secretory pathway	GO:1903434	positive regulation of constitutive secretory pathway	GO:1903435
negative regulation of convergent extension involved in axis elongation	GO:1901233	positive regulation of convergent extension involved in axis elongation	GO:1901234
negative regulation of convergent extension involved in gastrulation	GO:1904104	positive regulation of convergent extension involved in gastrulation	GO:1904105
negative regulation of convergent extension involved in neural plate elongation	GO:1904131	positive regulation of convergent extension involved in neural plate elongation	GO:1904132
negative regulation of convergent extension involved in notochord morphogenesis	GO:1904137	positive regulation of convergent extension involved in notochord morphogenesis	GO:1904138
negative regulation of convergent extension involved in rhombomere morphogenesis	GO:1904134	positive regulation of convergent extension involved in rhombomere morphogenesis	GO:1904135
negative regulation of convergent extension involved in somitogenesis	GO:1904128	positive regulation of convergent extension involved in somitogenesis	GO:1904129
negative regulation of copper ion transmembrane transport	GO:1902312	positive regulation of copper ion transmembrane transport	GO:1902313
negative regulation of cordyol c biosynthetic process	GO:1900862	positive regulation of cordyol c biosynthetic process	GO:1900863
negative regulation of core promoter binding	GO:1904797	positive regulation of core promoter binding	GO:1904798
negative regulation of coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO:0060728	positive regulation of coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO:0060727
negative regulation of cornification	GO:1905716	positive regulation of cornification	GO:1905717
negative regulation of corticosteroid hormone secretion	GO:2000847	positive regulation of corticosteroid hormone secretion	GO:2000848
negative regulation of corticosterone secretion	GO:2000853	positive regulation of corticosterone secretion	GO:2000854
negative regulation of corticotropin secretion	GO:0051460	positive regulation of corticotropin secretion	GO:0051461
negative regulation of corticotropin-releasing hormone receptor activity	GO:1900011	positive regulation of corticotropin-releasing hormone receptor activity	GO:1900012
negative regulation of corticotropin-releasing hormone secretion	GO:0051465	positive regulation of corticotropin-releasing hormone secretion	GO:0051466
negative regulation of cortisol biosynthetic process	GO:2000065	positive regulation of cortisol biosynthetic process	GO:2000066
negative regulation of cortisol secretion	GO:0051463	positive regulation of cortisol secretion	GO:0051464
negative regulation of creatine transmembrane transporter activity	GO:1905408	positive regulation of creatine transmembrane transporter activity	GO:1905409
negative regulation of creb transcription factor activity	GO:0032792	positive regulation of creb transcription factor activity	GO:0032793
negative regulation of cristae formation	GO:1903851	positive regulation of cristae formation	GO:1903852
negative regulation of crystal cell differentiation	GO:0042690	positive regulation of crystal cell differentiation	GO:0042691
negative regulation of cumulus cell differentiation	GO:0045593	positive regulation of cumulus cell differentiation	GO:0045594
negative regulation of cuticle pigmentation	GO:0048080	positive regulation of cuticle pigmentation	GO:0048081
negative regulation of cutin biosynthetic process	GO:1901958	positive regulation of cutin biosynthetic process	GO:1901959
negative regulation of cyanophore differentiation	GO:0048782	positive regulation of cyanophore differentiation	GO:0048783
negative regulation of cyclase activity	GO:0031280	positive regulation of cyclase activity	GO:0031281
negative regulation of cyclic nucleotide-gated ion channel activity	GO:1902160	positive regulation of cyclic nucleotide-gated ion channel activity	GO:1902161
negative regulation of cyclic-nucleotide phosphodiesterase activity	GO:0051344	positive regulation of cyclic-nucleotide phosphodiesterase activity	GO:0051343
negative regulation of cyclin-dependent protein kinase activity	GO:1904030	positive regulation of cyclin-dependent protein kinase activity	GO:1904031
negative regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0045736	positive regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0045737
negative regulation of cyclodextrin catabolic process	GO:2000958	positive regulation of cyclodextrin catabolic process	GO:2000959
negative regulation of cyclodextrin metabolic process	GO:2000955	positive regulation of cyclodextrin metabolic process	GO:2000956
negative regulation of cystathionine beta-synthase activity	GO:1904042	positive regulation of cystathionine beta-synthase activity	GO:1904043
negative regulation of cysteine metabolic process	GO:1901495	positive regulation of cysteine metabolic process	GO:1901496
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043154	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043280
negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	GO:2001268	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	GO:2001269
negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	GO:2001271	positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	GO:2001272
negative regulation of cysteine-type endopeptidase activity	GO:2000117	positive regulation of cysteine-type endopeptidase activity	GO:2001056
negative regulation of cytochrome-c oxidase activity	GO:1905376	positive regulation of cytochrome-c oxidase activity	GO:1904960
negative regulation of cytokine activity	GO:0060302	positive regulation of cytokine activity	GO:0060301
negative regulation of cytokine production involved in immune response	GO:0002719	positive regulation of cytokine production involved in immune response	GO:0002720
negative regulation of cytokine production involved in inflammatory response	GO:1900016	positive regulation of cytokine production involved in inflammatory response	GO:1900017
negative regulation of cytokine production	GO:0001818	positive regulation of cytokine production	GO:0001819
negative regulation of cytokine-mediated signaling pathway	GO:0001960	positive regulation of cytokine-mediated signaling pathway	GO:0001961
negative regulation of cytokinesis, actomyosin contractile ring assembly	GO:2000432	positive regulation of cytokinesis, actomyosin contractile ring assembly	GO:2000433
negative regulation of cytokinesis, site selection	GO:2000075	positive regulation of cytokinesis, site selection	GO:2000076
negative regulation of cytokinesis	GO:0032466	positive regulation of cytokinesis	GO:0032467
negative regulation of cytokinin-activated signaling pathway	GO:0080037	positive regulation of cytokinin-activated signaling pathway	GO:0080038
negative regulation of cytolysis by symbiont of host cells	GO:0001899	positive regulation of cytolysis by symbiont of host cells	GO:0001900
negative regulation of cytolysis in other organism involved in symbiotic interaction	GO:0051803	positive regulation of cytolysis in other organism involved in symbiotic interaction	GO:0051804
negative regulation of cytolysis in other organism	GO:0051713	positive regulation of cytolysis in other organism	GO:0051714
negative regulation of cytolysis	GO:0045918	positive regulation of cytolysis	GO:0045919
negative regulation of cytoplasmic mrna processing body assembly	GO:0010607	positive regulation of cytoplasmic mrna processing body assembly	GO:0010606
negative regulation of cytoplasmic translation	GO:2000766	positive regulation of cytoplasmic translation	GO:2000767
negative regulation of cytoplasmic translational elongation through polyproline stretches	GO:1903271	positive regulation of cytoplasmic translational elongation through polyproline stretches	GO:1903272
negative regulation of cytoplasmic translational elongation	GO:1900248	positive regulation of cytoplasmic translational elongation	GO:1900249
negative regulation of cytoplasmic translational initiation	GO:1904689	positive regulation of cytoplasmic translational initiation	GO:1904690
negative regulation of cytoplasmic transport	GO:1903650	positive regulation of cytoplasmic transport	GO:1903651
negative regulation of cytoskeleton organization	GO:0051494	positive regulation of cytoskeleton organization	GO:0051495
negative regulation of cytosolic calcium ion concentration	GO:0051481	positive regulation of cytosolic calcium ion concentration	GO:0007204
negative regulation of cytotoxic t cell degranulation	GO:0043318	positive regulation of cytotoxic t cell degranulation	GO:0043319
negative regulation of cytotoxic t cell differentiation	GO:0045584	positive regulation of cytotoxic t cell differentiation	GO:0045585
negative regulation of d-amino-acid oxidase activity	GO:1900758	positive regulation of d-amino-acid oxidase activity	GO:1900759
negative regulation of dauer entry	GO:1905910	positive regulation of dauer entry	GO:1905911
negative regulation of dauer larval development	GO:0061067	positive regulation of dauer larval development	GO:0061066
negative regulation of deacetylase activity	GO:0150066	positive regulation of deacetylase activity	GO:0090045
negative regulation of defecation rhythm	GO:2000747	positive regulation of defecation rhythm	GO:2000748
negative regulation of defecation	GO:2000293	positive regulation of defecation	GO:2000294
negative regulation of defense response to bacterium	GO:1900425	positive regulation of defense response to bacterium	GO:1900426
negative regulation of defense response to insect	GO:1900366	positive regulation of defense response to insect	GO:1900367
negative regulation of defense response to oomycetes	GO:1902289	positive regulation of defense response to oomycetes	GO:1902290
negative regulation of defense response to virus by host	GO:0050689	positive regulation of defense response to virus by host	GO:0002230
negative regulation of defense response	GO:0031348	positive regulation of defense response	GO:0031349
negative regulation of dehydroaustinol biosynthetic process	GO:1900650	positive regulation of dehydroaustinol biosynthetic process	GO:1900651
negative regulation of dehydroepiandrosterone secretion	GO:2000841	positive regulation of dehydroepiandrosterone secretion	GO:2000842
negative regulation of delayed rectifier potassium channel activity	GO:1902260	positive regulation of delayed rectifier potassium channel activity	GO:1902261
negative regulation of demethylkotanin biosynthetic process	GO:1900653	positive regulation of demethylkotanin biosynthetic process	GO:1900654
negative regulation of dendrite development	GO:2000171	positive regulation of dendrite development	GO:1900006
negative regulation of dendrite extension	GO:1903860	positive regulation of dendrite extension	GO:1903861
negative regulation of dendrite morphogenesis	GO:0050774	positive regulation of dendrite morphogenesis	GO:0050775
negative regulation of dendritic cell antigen processing and presentation	GO:0002605	positive regulation of dendritic cell antigen processing and presentation	GO:0002606
negative regulation of dendritic cell apoptotic process	GO:2000669	positive regulation of dendritic cell apoptotic process	GO:2000670
negative regulation of dendritic cell chemotaxis	GO:2000509	positive regulation of dendritic cell chemotaxis	GO:2000510
negative regulation of dendritic cell cytokine production	GO:0002731	positive regulation of dendritic cell cytokine production	GO:0002732
negative regulation of dendritic cell dendrite assembly	GO:2000548	positive regulation of dendritic cell dendrite assembly	GO:2000549
negative regulation of dendritic cell differentiation	GO:2001199	positive regulation of dendritic cell differentiation	GO:2001200
negative regulation of dendritic spine development	GO:0061000	positive regulation of dendritic spine development	GO:0060999
negative regulation of dendritic spine maintenance	GO:1902951	positive regulation of dendritic spine maintenance	GO:1902952
negative regulation of dendritic spine morphogenesis	GO:0061002	positive regulation of dendritic spine morphogenesis	GO:0061003
negative regulation of dense core granule biogenesis	GO:2000706	positive regulation of dense core granule biogenesis	GO:2000707
negative regulation of dense core granule exocytosis	GO:1905414	positive regulation of dense core granule exocytosis	GO:1905415
negative regulation of dense core granule transport	GO:1904810	positive regulation of dense core granule transport	GO:1904811
negative regulation of deoxyribonuclease activity	GO:0032076	positive regulation of deoxyribonuclease activity	GO:0032077
negative regulation of dephosphorylation	GO:0035305	positive regulation of dephosphorylation	GO:0035306
negative regulation of dermatome development	GO:0061185	positive regulation of dermatome development	GO:0061184
negative regulation of detection of glucose	GO:2000971	positive regulation of detection of glucose	GO:2000972
negative regulation of detection of mechanical stimulus involved in sensory perception of touch	GO:1905788	positive regulation of detection of mechanical stimulus involved in sensory perception of touch	GO:1905789
negative regulation of determination of dorsal identity	GO:2000016	positive regulation of determination of dorsal identity	GO:2000017
negative regulation of development of symbiont in host	GO:0044131	positive regulation of development of symbiont in host	GO:0044129
negative regulation of development, heterochronic	GO:0045961	positive regulation of development, heterochronic	GO:0045962
negative regulation of developmental growth	GO:0048640	positive regulation of developmental growth	GO:0048639
negative regulation of developmental pigmentation	GO:0048086	positive regulation of developmental pigmentation	GO:0048087
negative regulation of developmental process	GO:0051093	positive regulation of developmental process	GO:0051094
negative regulation of developmental vegetative growth	GO:1905614	positive regulation of developmental vegetative growth	GO:1905615
negative regulation of diacylglycerol biosynthetic process	GO:1900481	positive regulation of diacylglycerol biosynthetic process	GO:1900482
negative regulation of diacylglycerol kinase activity	GO:1905688	positive regulation of diacylglycerol kinase activity	GO:1905689
negative regulation of digestive system process	GO:0060457	positive regulation of digestive system process	GO:0060456
negative regulation of diorcinol biosynthetic process	GO:1900656	positive regulation of diorcinol biosynthetic process	GO:1900657
negative regulation of dipeptide transmembrane transport	GO:2001149	positive regulation of dipeptide transmembrane transport	GO:2001150
negative regulation of dipeptide transport	GO:2000879	positive regulation of dipeptide transport	GO:2000880
negative regulation of direction of cell growth	GO:0061391	positive regulation of direction of cell growth	GO:0061390
negative regulation of distal tip cell migration	GO:1903355	positive regulation of distal tip cell migration	GO:1903356
negative regulation of division septum assembly	GO:0010974	positive regulation of division septum assembly	GO:0010973
negative regulation of dna amplification	GO:1904524	positive regulation of dna amplification	GO:1904525
negative regulation of dna binding	GO:0043392	positive regulation of dna binding	GO:0043388
negative regulation of dna biosynthetic process	GO:2000279	positive regulation of dna biosynthetic process	GO:2000573
negative regulation of dna catabolic process	GO:1903625	positive regulation of dna catabolic process	GO:1903626
negative regulation of dna damage checkpoint	GO:2000002	positive regulation of dna damage checkpoint	GO:2000003
negative regulation of dna damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:1902163	positive regulation of dna damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:1902164
negative regulation of dna damage response, signal transduction by p53 class mediator	GO:0043518	positive regulation of dna damage response, signal transduction by p53 class mediator	GO:0043517
negative regulation of dna demethylation	GO:1901536	positive regulation of dna demethylation	GO:1901537
negative regulation of dna duplex unwinding	GO:1905463	positive regulation of dna duplex unwinding	GO:1905464
negative regulation of dna endoreduplication	GO:0032876	positive regulation of dna endoreduplication	GO:0032877
negative regulation of dna helicase activity	GO:1905775	positive regulation of dna helicase activity	GO:1905776
negative regulation of dna ligase activity	GO:1904876	positive regulation of dna ligase activity	GO:1904877
negative regulation of dna ligation	GO:0051107	positive regulation of dna ligation	GO:0051106
negative regulation of dna metabolic process	GO:0051053	positive regulation of dna metabolic process	GO:0051054
negative regulation of dna methylation	GO:1905642	positive regulation of dna methylation	GO:1905643
negative regulation of dna methylation-dependent heterochromatin assembly	GO:0090310	positive regulation of dna methylation-dependent heterochromatin assembly	GO:0090309
negative regulation of dna n-glycosylase activity	GO:1902545	positive regulation of dna n-glycosylase activity	GO:1902546
negative regulation of dna nucleotidylexotransferase activity	GO:1904940	positive regulation of dna nucleotidylexotransferase activity	GO:1904941
negative regulation of dna primase activity	GO:1903933	positive regulation of dna primase activity	GO:1903934
negative regulation of dna recombination at centromere	GO:0061808	positive regulation of dna recombination at centromere	GO:0061807
negative regulation of dna recombination at telomere	GO:0048239	positive regulation of dna recombination at telomere	GO:0072696
negative regulation of dna recombination	GO:0045910	positive regulation of dna recombination	GO:0045911
negative regulation of dna repair	GO:0045738	positive regulation of dna repair	GO:0045739
negative regulation of dna replication origin binding	GO:1902596	positive regulation of dna replication origin binding	GO:1902597
negative regulation of dna replication	GO:0008156	positive regulation of dna replication	GO:0045740
negative regulation of dna strand resection involved in replication fork processing	GO:0110027	positive regulation of dna strand resection involved in replication fork processing	GO:0106253
negative regulation of dna topoisomerase (atp-hydrolyzing) activity	GO:2000372	positive regulation of dna topoisomerase (atp-hydrolyzing) activity	GO:2000373
negative regulation of dna-binding transcription factor activity	GO:0043433	positive regulation of dna-binding transcription factor activity	GO:0051091
negative regulation of dna-dependent dna replication initiation	GO:0032297	positive regulation of dna-dependent dna replication initiation	GO:0032298
negative regulation of dna-dependent dna replication	GO:2000104	positive regulation of dna-dependent dna replication	GO:2000105
negative regulation of dna-directed dna polymerase activity	GO:1900263	positive regulation of dna-directed dna polymerase activity	GO:1900264
negative regulation of dna-templated transcription, elongation	GO:0032785	positive regulation of dna-templated transcription, elongation	GO:0032786
negative regulation of dna-templated transcription, initiation	GO:2000143	positive regulation of dna-templated transcription, initiation	GO:2000144
negative regulation of dna-templated transcription, termination	GO:0060567	positive regulation of dna-templated transcription, termination	GO:0060566
negative regulation of dopamine biosynthetic process	GO:1903180	positive regulation of dopamine biosynthetic process	GO:1903181
negative regulation of dopamine metabolic process	GO:0045963	positive regulation of dopamine metabolic process	GO:0045964
negative regulation of dopamine receptor signaling pathway	GO:0060160	positive regulation of dopamine receptor signaling pathway	GO:0060161
negative regulation of dopamine secretion	GO:0033602	positive regulation of dopamine secretion	GO:0033603
negative regulation of dopamine uptake involved in synaptic transmission	GO:0051585	positive regulation of dopamine uptake involved in synaptic transmission	GO:0051586
negative regulation of dopaminergic neuron differentiation	GO:1904339	positive regulation of dopaminergic neuron differentiation	GO:1904340
negative regulation of dorsal/ventral axon guidance	GO:1905816	positive regulation of dorsal/ventral axon guidance	GO:1905817
negative regulation of dosage compensation by inactivation of x chromosome	GO:1900096	positive regulation of dosage compensation by inactivation of x chromosome	GO:1900097
negative regulation of double-strand break repair via homologous recombination	GO:2000042	positive regulation of double-strand break repair via homologous recombination	GO:1905168
negative regulation of double-strand break repair via nonhomologous end joining	GO:2001033	positive regulation of double-strand break repair via nonhomologous end joining	GO:2001034
negative regulation of double-strand break repair	GO:2000780	positive regulation of double-strand break repair	GO:2000781
negative regulation of double-stranded telomeric dna binding	GO:1905768	positive regulation of double-stranded telomeric dna binding	GO:1905769
negative regulation of ductus arteriosus closure	GO:1904336	positive regulation of ductus arteriosus closure	GO:1904337
negative regulation of dutp diphosphatase activity	GO:1903628	positive regulation of dutp diphosphatase activity	GO:1903629
negative regulation of early stripe melanocyte differentiation	GO:0050947	negative regulation of late stripe melanocyte differentiation	GO:0050949
negative regulation of eating behavior	GO:1903999	positive regulation of eating behavior	GO:1904000
negative regulation of ecdysone receptor-mediated signaling pathway	GO:0120143	positive regulation of ecdysone receptor-mediated signaling pathway	GO:0120142
negative regulation of ecdysteroid biosynthetic process	GO:0045997	positive regulation of ecdysteroid biosynthetic process	GO:0045998
negative regulation of ecdysteroid metabolic process	GO:0045965	positive regulation of ecdysteroid metabolic process	GO:0045966
negative regulation of ecdysteroid secretion	GO:0045999	positive regulation of ecdysteroid secretion	GO:0046000
negative regulation of eclosion	GO:0045804	positive regulation of eclosion	GO:0045805
negative regulation of ectoderm development	GO:2000384	positive regulation of ectoderm development	GO:2000385
negative regulation of elastin biosynthetic process	GO:0051545	positive regulation of elastin biosynthetic process	GO:0051544
negative regulation of elastin catabolic process	GO:0060311	positive regulation of elastin catabolic process	GO:0110015
negative regulation of electron transfer activity	GO:1904733	positive regulation of electron transfer activity	GO:1904734
negative regulation of embryo sac central cell differentiation	GO:0045692	positive regulation of embryo sac central cell differentiation	GO:0045693
negative regulation of embryo sac egg cell differentiation	GO:0045695	positive regulation of embryo sac egg cell differentiation	GO:0045696
negative regulation of embryonic camera-type eye development	GO:1902864	positive regulation of embryonic camera-type eye development	GO:1902865
negative regulation of embryonic development	GO:0045992	positive regulation of embryonic development	GO:0040019
negative regulation of embryonic pattern specification	GO:1902876	positive regulation of embryonic pattern specification	GO:1902877
negative regulation of embryonic skeletal joint development	GO:1902763	positive regulation of embryonic skeletal joint development	GO:1902764
negative regulation of emericellamide a biosynthetic process	GO:1900662	positive regulation of emericellamide a biosynthetic process	GO:1900663
negative regulation of emericellamide biosynthetic process	GO:1900659	positive regulation of emericellamide biosynthetic process	GO:1900660
negative regulation of emericellin biosynthetic process	GO:1900835	positive regulation of emericellin biosynthetic process	GO:1900836
negative regulation of emodin biosynthetic process	GO:1900665	positive regulation of emodin biosynthetic process	GO:1900666
negative regulation of enamel mineralization	GO:0070174	positive regulation of enamel mineralization	GO:0070175
negative regulation of encysted zoospore germination	GO:0075229	positive regulation of encysted zoospore germination	GO:0075228
negative regulation of endo-1,4-beta-xylanase activity	GO:0051422	positive regulation of endo-1,4-beta-xylanase activity	GO:0051423
negative regulation of endocardial cushion cell differentiation	GO:0120076	positive regulation of endocardial cushion cell differentiation	GO:0120075
negative regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	GO:2000801	positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	GO:2000802
negative regulation of endocardial cushion to mesenchymal transition	GO:0140050	positive regulation of endocardial cushion to mesenchymal transition	GO:0140051
negative regulation of endocrocin biosynthetic process	GO:1900668	positive regulation of endocrocin biosynthetic process	GO:1900669
negative regulation of endocytic recycling	GO:2001136	positive regulation of endocytic recycling	GO:2001137
negative regulation of endocytosis	GO:0045806	positive regulation of endocytosis	GO:0045807
negative regulation of endodeoxyribonuclease activity	GO:0032078	positive regulation of endodeoxyribonuclease activity	GO:0032079
negative regulation of endodermal cell differentiation	GO:1903225	positive regulation of endodermal cell differentiation	GO:1903226
negative regulation of endopeptidase activity	GO:0010951	positive regulation of endopeptidase activity	GO:0010950
negative regulation of endoplasmic reticulum calcium ion concentration	GO:0032471	positive regulation of endoplasmic reticulum calcium ion concentration	GO:0032470
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	GO:1902236	positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	GO:1902237
negative regulation of endoplasmic reticulum tubular network organization	GO:1903372	positive regulation of endoplasmic reticulum tubular network organization	GO:1903373
negative regulation of endoplasmic reticulum unfolded protein response	GO:1900102	positive regulation of endoplasmic reticulum unfolded protein response	GO:1900103
negative regulation of endoribonuclease activity	GO:0060702	positive regulation of endoribonuclease activity	GO:1902380
negative regulation of endosomal vesicle fusion	GO:1905362	positive regulation of endosomal vesicle fusion	GO:1905363
negative regulation of endosome organization	GO:1904979	positive regulation of endosome organization	GO:1904980
negative regulation of endosome to plasma membrane protein transport	GO:1905750	positive regulation of endosome to plasma membrane protein transport	GO:1905751
negative regulation of endothelial cell activation	GO:1904988	positive regulation of endothelial cell activation	GO:1904989
negative regulation of endothelial cell apoptotic process	GO:2000352	positive regulation of endothelial cell apoptotic process	GO:2000353
negative regulation of endothelial cell chemotaxis to fibroblast growth factor	GO:2000545	positive regulation of endothelial cell chemotaxis to fibroblast growth factor	GO:2000546
negative regulation of endothelial cell chemotaxis to vascular endothelial growth factor	GO:1904858	positive regulation of endothelial cell chemotaxis to vascular endothelial growth factor	GO:1904859
negative regulation of endothelial cell chemotaxis	GO:2001027	positive regulation of endothelial cell chemotaxis	GO:2001028
